stop_id,stop_name,lat,lon
B00075P,Asrama Polri Cideng,-6.178925,106.81262
B00076P,Asshomadiyah Medicare Centre 1,-6.295486,106.89804
B00078P,Astek,-6.291175,106.66598
B00079P,Aston Pluit 1,-6.124693,106.79511
B00081P,At Thahiriah 1,-6.210032,106.93803
B00082P,At Thahiriah 2,-6.210011,106.93809
B00083P,Atrium 1,-6.177759,106.8412
B00084P,Atrium 2,-6.17687,106.84042
B00085P,Aula Simfonia,-6.152158,106.8436
B00088P,Awab Dalam,-6.224877,106.8696
B00089P,Ayam Kalasan Pisangan Lama,-6.210495,106.87869
B00091P,Azhari Islamic School 2,-6.305309,106.77796
B00092P,Bacang Lubang Buaya,-6.288956,106.89696
B00093P,Badan Diklat Kejaksaan RI,-6.304295,106.82095
B00096P,Badan Penghubung Sulawesi Tengah,-6.175029,106.80734
B00097P,Badan Restorasi Gambut RI,-6.191286,106.833203
B00098P,Baileys Lagoon City,-6.315461,106.74677
B00099P,Bakti Mulia 400,-6.275838,106.77675
B00100P,Baladewa Residence,-6.229648,106.91038
B00102P,Balai Kota 1,-6.180598,106.82847
B00103P,Balai Nikah Kembangan Utara,-6.181467,106.73448
B00104P,Balai Pertamina,-6.229555,106.79052
B00105P,Balai Sudirman,-6.227043,106.84742
B00106P,Balaikota Depok 2,-6.394973,106.82277
B00107P,Bamed Health Care,-6.203485,106.73102
B00108P,Bandar Djakarta Bekasi,-6.227085,106.99683
B00109P,Bangau VI,-6.169278,106.84271
B00110P,Bangunan Timur 1,-6.189634,106.88551
B00111P,Bangunan Timur 2,-6.189526,106.88571
B00112P,Bank Indonesia 1,-6.181904,106.823097
B00113P,Bank Indonesia 2,-6.182667,106.82275
B00114P,UPT. LLHD 1,-6.22577,106.83507
B00115P,UPT. LLHD 2,-6.225501,106.83489
B00116P,Bapindo Menteng,-6.187095,106.83566
B00117P,Batalyon Kavaleri 1,-6.252806,106.65064
B00118P,Batalyon Kavaleri 2,-6.252704,106.65081
B00119P,Batan H Kaman,-6.296551,106.77338
B00120P,Baung,-6.302036,106.83656
B00121P,Baywalk 1,-6.109908,106.77828
B00122P,Baywalk 2,-6.110359,106.77961
B00123P,BBPK Jakarta,-6.302219,106.798
B00124P,Bella Terra,-6.175296,106.89567
B00125P,Benhil 1,-6.217304,106.8154
B00126P,Benhil 2,-6.216775,106.8154
B00127P,Benhil 3,-6.21601,106.81632
B00128P,Benteng Betawi,-6.174158,106.65559
B00129P,Bercabuana Sakti,-6.270086,106.76549
B00130P,Bermis 1,-6.178022,106.89853
B00131P,Bermis 2,-6.178353,106.89841
B00132P,Beverly Tower,-6.291805,106.78636
B00133P,Bhayangkara 1,-6.236949,106.64549
B00134P,Bhayangkara 2,-6.236714,106.64559
B00135P,Bidan Ningsih Joglo,-6.216023,106.72909
B00136P,Bidara 1,-6.106097,106.9595
B00137P,Bidara 2,-6.106075,106.95942
B00138P,Bidara Cina 1,-6.229954,106.86735
B00139P,Bidara Cina 2,-6.22994,106.86709
B00140P,Billy Moon,-6.248271,106.93093
B00141P,Billy Moon 2,-6.248131,106.92944
B00142P,Bimbel Calistung,-6.222933,106.93901
B00144P,Bintaro,-6.271245,106.75133
B00145P,Bintaro Gg. Masjid,-6.27026,106.75217
B00146P,Bintaro Kodam,-6.260196,106.76594
B00147P,Bintaro Park VIew,-6.257977,106.75969
B00148P,Bintaro Xchange,-6.286813,106.72865
B00149P,Binus Kampus Kijang,-6.194535,106.78757
B00150P,Binus Syahdan,-6.200725,106.78472
B00151P,Binus University,-6.201811,106.78265
B00152P,BKKBN 1,-6.252902,106.88084
B00153P,BKKBN 2,-6.253103,106.88108
B00154P,BKN 1,-6.258026,106.86955
B00155P,BKN 2,-6.258262,106.86984
B00156P,Blok A,-6.188462,106.81558
B00158P,Blok E,-6.18497,106.81463
B00159P,Blok F,-6.188552,106.81249
B00160P,Blue Gas Pulo Gebang,-6.210605,106.95645
B00161P,BNI 46,-6.135768,106.81425
B00163P,BNI Syariah,-6.227256,106.83291
B00165P,Bongkaran Tanah Abang,-6.189421,106.81159
B00166P,Boulevard Bukit Gading Raya,-6.15515,106.89579
B00167P,Boulevard Hijau THB,-6.183321,106.98406
B00168P,Boulevard Inspeksi Kali Sunter,-6.151094,106.88901
B00169P,Boulevard Janur Elok Raya 1,-6.150581,106.90954
B00170P,Boulevard Janur Elok Raya 2,-6.150553,106.90922
B00171P,Boulevard Kelapa Cengkir Raya,-6.165966,106.90211
B00172P,Boulevard Kelapa Hybrida Raya 1,-6.148453,106.90965
B00173P,Boulevard Kelapa Hybrida Raya 2,-6.148396,106.90935
B00174P,Boulevard Pelepah Raya,-6.159256,106.90317
B00175P,BP3IP Sunter,-6.137845,106.87619
B00176P,BPHN,-6.259724,106.86834
B00177P,BPJS Jaksel,-6.249682,106.84318
B00178P,BPJS Kesehatan Sultan Hasanudin,-6.242517,106.80229
B00179P,BPJS Ketenagakerjaan Marunda,-6.104983,106.93254
B00182P,BPPSPAM,-6.244679,106.80918
B00183P,BRI Jakarta Kota,-6.135104,106.80752
B00184P,BRI Menteng,-6.186792,106.83514
B00185P,Brimob Pejaten Barat 2,-6.270925,106.84644
B00188P,BSD Plaza 1,-6.278263,106.66103
B00189P,BSD Plaza 2,-6.280847,106.66305
B00190P,BSI 1,-6.237724,106.76225
B00191P,BSI 2,-6.237609,106.76252
B00192P,BSI Cengkareng,-6.147973,106.72781
B00194P,BTC 2,-6.258258,107.0206
B00195P,Buaran Plaza,-6.217983,106.9235
B00196P,Buaran Raya,-6.220456,106.92176
B00197P,Buddha Tzu Chi,-6.107998,106.73942
B00198P,Budhaya Santo Agustinus,-6.220866,106.92346
B00199P,Budhi Medika Meruya Utara,-6.196934,106.73231
B00200P,Budi Kemulyaan,-6.180223,106.8178
B00201P,Budiwarman 1,-6.279071,106.87019
B00202P,Budiwarman 2,-6.279048,106.870363
B00203P,Bukit Cinere Indah,-6.340012,106.77991
B00205P,Bukit Duri,-6.21551,106.86293
B00206P,Bulak Rantai,-6.284664,106.87123
B00207P,Bulak Turi,-6.104952,106.97016
B00208P,Bulak Turi 2,-6.105145,106.97009
B00209P,Bulog,-6.237665,106.82917
B00211P,Bumi Jatiwaringin,-6.275283,106.91282
B00213P,Bumi Perkemahan Ragunan,-6.295825,106.82153
B00214P,Bumiputera,-6.206839,106.82234
B00215P,Bunda Hati Kudus Jelambar,-6.165552,106.78484
B00216P,Bundaran Alam Sutera 1,-6.244107,106.64889
B00217P,Bundaran Alam Sutera 2,-6.243905,106.64901
B00218P,Bundaran Cipinang Kebembem,-6.211974,106.88891
B00219P,Bundaran Harapan Indah,-6.183719,106.97727
B00220P,Bundaran Semper,-6.128609,106.91759
B00221P,Bundaran Senayan 1,-6.227445,106.80187
B00222P,Bundaran Senayan 2,-6.227877,106.80068
B00223P,Bundaran Stainless Harapan Indah,-6.178666,106.98132
B00224P,Bundaran Taman Gondangdia 1,-6.194297,106.833189
B00226P,Buperta Cibubur,-6.370321,106.89628
B00227P,Carrefour Buaran,-6.218653,106.9237
B00228P,Carrefour Harapan Indah,-6.187189,106.97684
B00229P,Carrefour Lebak Bulus,-6.287529,106.7768
B00230P,Carrefour Meruya Ilir,-6.197521,106.75129
B00231P,Carrefour Pejaten Barat,-6.267834,106.84529
B00232P,Cawang Blue Bird,-6.248836,106.87801
B00233P,Cawang Blue Bird 2,-6.248866,106.87753
B00234P,Cawang Soetoyo 1,-6.24544,106.87548
B00235P,Cawang Soetoyo 2,-6.245259,106.876
B00236P,Cawang UKI 1,-6.250807,106.87364
B00237P,Cek & Ricek,-6.215349,106.72961
B00238P,Cempaka,-6.277541,106.76223
B00239P,Cempaka Putih Tengah,-6.176736,106.86444
B00240P,Cempaka Timur 2,-6.166318,106.87617
B00241P,Centennial Tower,-6.230377,106.82026
B00242P,Centro Metro Broadway,-6.116362,106.76143
B00243P,Cervino Village,-6.224355,106.85165
B00244P,Chase Plaza,-6.210571,106.82129
B00245P,Child Care Pre School,-6.257557,106.8009
B00247P,Cibubur Indah II,-6.35207,106.88704
B00248P,Cibubur Junction,-6.368735,106.89366
B00249P,Cideng Timur,-6.166537,106.81073
B00250P,Cikajang Wolter Monginsidi,-6.239122,106.81084
B00251P,Cilandak,-6.29195,106.81519
B00252P,Cilandak Tengah,-6.29203,106.8021
B00253P,Cilandak Town Square,-6.291991,106.79967
B00254P,Cililitan,-6.263311,106.86524
B00255P,Cililitan Besar 1,-6.263567,106.86709
B00256P,Cililitan Besar 2,-6.263478,106.86694
B00257P,Cililitan Kecil,-6.261889,106.86423
B00261P,Cipinang Baru Bunder,-6.20713,106.88603
B00262P,Cipinang BKT,-6.229448,106.89288
B00263P,Cipinang Indah,-6.22943,106.89116
B00264P,Cipinang Kb. Nanas 1,-6.231595,106.87615
B00265P,Cipinang Kb. Nanas 2,-6.231453,106.87647
B00266P,Cipinang Lontar,-6.214031,106.88836
B00267P,Cipinang Lontar Rusun Polri,-6.206815,106.88785
B00268P,Cipinang Melayu Kalimalang,-6.240168,106.88473
B00269P,Cipinang Melayu Kalimalang 2,-6.24004,106.8828
B00270P,Cipinang Melayu Kalimalang 3,-6.240143,106.88077
B00271P,Cipinang Muara III Muara Jaya,-6.218869,106.8926
B00272P,Cipta Karya Tata Ruang Pertahanan 1,-6.179781,106.81041
B00273P,Cipta Karya Tata Ruang Pertahanan 2,-6.179903,106.81049
B00274P,Cipta Rasuna Said,-6.216146,106.83087
B00275P,Cipulir 1,-6.237918,106.7749
B00276P,Cirendeu Permai,-6.289561,106.76894
B00278P,City Walk Sudirman,-6.209468,106.81783
B00279P,Classic Hotel,-6.162308,106.83007
B00281P,Condet Raya,-6.280969,106.85517
B00282P,CPI Belakang 1,-6.237437,106.89436
B00283P,CPI Belakang 2,-6.237257,106.89416
B00284P,Curug Kalimalang,-6.24774,106.92454
B00285P,Cut Meutia,-6.187542,106.83294
B00286P,Cyberpark Karawaci,-6.222465,106.61844
B00287P,D Mall,-6.387291,106.8273
B00290P,Dammara,-6.25419,106.83146
B00291P,Dana Reksa,-6.181365,106.82451
B00292P,Danau Agung 1,-6.147281,106.8582
B00293P,Danau Tmp Kalibata,-6.255698,106.84944
B00295P,Dapsus 1,-6.301135,106.79484
B00296P,Dapsus 2,-6.301728,106.79463
B00297P,Dapsus 3,-6.301746,106.79477
B00298P,Dapsus 4,-6.301649,106.79472
B00299P,Darmawangsa Square,-6.253048,106.80116
B00300P,Darul Aitam Pondok Pinang,-6.274498,106.77381
B00301P,Dato Tonggara,-6.283918,106.87222
B00302P,Depo LRT Pegangsaan Dua,-6.15505,106.9137
B00304P,Dewan Pers,-6.182996,106.82709
B00305P,Dharma Bakti Cijantung,-6.318713,106.86463
B00306P,Dinas Kebersihan Duren Sawit,-6.219815,106.92338
B00307P,Dinas Lingkungan Hidup,-6.264168,106.87033
B00308P,Dinas Olahraga Dan Pemuda,-6.219715,106.86802
B00309P,Dinas Pengawasan Dan Penertiban Bangunan,-6.182268,106.81114
B00310P,Dipo Lokomotif Tanah Abang,-6.182333,106.81089
B00311P,Dipo Tower,-6.203007,106.80074
B00312P,Direktorat Jenderal Hortikultura,-6.285538,106.8393
B00313P,Direktorat Jenderal Pajak,-6.224628,106.81558
B00314P,Dirjen Anggaran,-6.227253,106.89881
B00316P,Dishub Jakut,-6.122876,106.89367
B00317P,Dittopad,-6.174759,106.84823
B00318P,Dittopad 2,-6.174618,106.85009
B00319P,DPD Golkar,-6.197504,106.84022
B00320P,DPP FPI,-6.194368,106.80536
B00321P,DPR MPR 1,-6.208517,106.80379
B00322P,DPR MPR 2,-6.206314,106.80194
B00323P,DPRD DKI Jakarta,-6.182886,106.82851
B00324P,Dukuh 5,-6.289913,106.87753
B00325P,Dukuh Atas 3,-6.20565,106.8225
B00326P,Dukuh Atas 4,-6.204819,106.8221
B00327P,Dukuh Permai Residence,-6.302631,106.8785
B00328P,Duren Sawit,-6.233341,106.91006
B00329P,Duren Tiga 1,-6.252132,106.82702
B00330P,Duri Kepa 1,-6.185474,106.76836
B00331P,Duri Kepa 2,-6.185432,106.76854
B00332P,Dwijaya,-6.262287,106.78855
B00333P,Ekowisata Mangrove,-6.121673,106.75482
B00334P,EKS Komplek Gaya Motor,-6.105771,106.93063
B00335P,Embun Pagi Islamic Elementary School,-6.248768,106.92911
B00336P,Embun Pagi Islamic School,-6.247711,106.91892
B00337P,Empang 3,-6.263342,106.84318
B00338P,Enggano 1,-6.110213,106.89246
B00339P,Enggano 2,-6.110031,106.89246
B00340P,Epiwalk Epicentrum,-6.217666,106.83547
B00341P,Erha Clinic,-6.147269,106.89796
B00342P,Essence Dharmawangsa,-6.257365,106.80495
B00344P,Exit Tol UKI,-6.257445,106.87049
B00345P,Exit Tol Veteran Bintaro,-6.262649,106.76654
B00347P,Fatmawati 1,-6.292571,106.79743
B00348P,Fatmawati 2,-6.291994,106.79606
B00349P,Flyover Bintaro,-6.25748,106.76478
B00351P,Flyover HBR Motik 1,-6.152627,106.84989
B00352P,Flyover HBR Motik 2,-6.152807,106.8506
B00354P,Flyover Jatinegara 1,-6.215301,106.87356
B00355P,Flyover Jatinegara 2,-6.215074,106.87332
B00356P,Flyover Jatinegara Atas,-6.214553,106.87388
B00357P,Flyover Jatinegara Bawah,-6.214707,106.87383
B00358P,Flyover Kampung Melayu,-6.22506,106.86483
B00360P,Flyover Karet 2,-6.214808,106.81847
B00361P,Flyover Klender 1,-6.213499,106.90245
B00362P,Flyover Klender 2,-6.213721,106.90252
B00363P,Flyover Ps. Klender 1,-6.211058,106.90153
B00364P,Flyover Ps. Klender 2,-6.211371,106.90103
B00365P,Flyover Pondok Kopi,-6.217758,106.93843
B00366P,Flyover Pulo Gebang 1,-6.210497,106.95047
B00367P,Flyover Pulo Gebang 2,-6.210438,106.95062
B00368P,Flyover Radin Inten 1,-6.216112,106.92439
B00369P,Flyover Radin Inten 2,-6.215843,106.92408
B00371P,Flyover Semanan Indah 2,-6.161743,106.72693
B00372P,Flyover Setiabudi,-6.202064,106.8281
B00373P,Flyover Slipi Kemanggisan,-6.189613,106.79742
B00374P,Flyover Tj. Barat,-6.303059,106.83998
B00376P,Formindo Prima Agung,-6.120335,106.70853
B00377P,Fresh Market PIK,-6.1029,106.74123
B00378P,FX Sudirman,-6.225532,106.8037
B00379P,Gading Griya Lestari,-6.141405,106.92188
B00380P,Gading Harmony,-6.165901,106.90179
B00381P,Gading Nirwana,-6.148645,106.91295
B00382P,Gading Riveria,-6.148327,106.91277
B00383P,Gading Serpong 1,-6.230729,106.64138
B00384P,Gading Serpong 2,-6.230464,106.64147
B00386P,Galeri Niaga Mediterania 1,-6.116646,106.77135
B00388P,Galur 2,-6.174192,106.855
B00389P,Gama Tower,-6.22414,106.83303
B00390P,Gambir 3,-6.178796,106.83095
B00391P,Gandaria City,-6.243912,106.7824
B00394P,Gg. Ahmad Squadron,-6.268976,106.87751
B00395P,Gg. Aim 1,-6.200344,106.9351
B00396P,Gg. Aim 2,-6.200395,106.93515
B00398P,Gg. Al Mawaddah Tengah,-6.287911,106.86292
B00399P,Gg. Alfa Tanah Tinggi,-6.18272,106.84839
B00400P,Gg. Ali,-6.307683,106.87636
B00402P,Gg. Ampera BMW Astra,-6.292546,106.790025
B00403P,Gg. Anawinka Naga Raya,-6.223403,106.90762
B00404P,Gg. Anggur Cipete Dalam,-6.276068,106.80052
B00405P,Gg. Ani Raya Condet,-6.266674,106.86054
B00406P,Gg. Arba Johar Baru,-6.185385,106.85234
B00407P,Gg. Asem Ciracas,-6.321196,106.87024
B00409P,Gg. Asmat Petukangan,-6.244316,106.752
B00410P,Gg. Ayama,-6.27204,106.8671
B00412P,Gg. Balai Rakyat Balekambang,-6.293289,106.85517
B00414P,Gg. Bambu Batu Ampar,-6.281099,106.86023
B00415P,Gg. Barokah Lingkar Timur,-6.19658,106.94405
B00416P,Gg. Barokah Marunda,-6.12779,106.95874
B00419P,Gg. Bengkel Kalisari,-6.33388,106.85263
B00420P,Gg. Beringin,-6.384603,106.8292
B00421P,Gg. Beringin V RS Soekanto,-6.22752,106.93304
B00422P,Gg. Bhakti Lingkar Timur,-6.197075,106.94408
B00423P,Gg. Bidan Baru,-6.327013,106.85027
B00424P,Gg. Bina Citra Susukan,-6.312068,106.87178
B00425P,Gg. Borobudur Ragunan,-6.306803,106.81679
B00426P,Gg. Bungur IX Rambutan,-6.316983,106.88465
B00428P,Gg. Burung Dalam,-6.137017,106.82132
B00429P,Gg. CC Palmerah,-6.201889,106.7883
B00430P,Gg. Cemara Cilandak KKO,-6.299412,106.81475
B00432P,Gg. Cengkeh Lubang Buaya,-6.292786,106.90519
B00433P,Gg. Ciliwung Cililitan,-6.263895,106.86222
B00434P,Gg. Condet Raya Prepedan,-6.111906,106.70561
B00435P,Gg. Damai I Rorotan,-6.150802,106.95604
B00436P,Gg. Damai Lapangan Tembak,-6.347401,106.87448
B00437P,Gg. Damai Lingkar Timur,-6.194933,106.94389
B00438P,Gg. Delima III,-6.295721,106.90362
B00440P,Gg. Elang V Kebantenan,-6.111645,106.92882
B00441P,Gg. Ferry Cibubur,-6.348305,106.87656
B00444P,Gg. Gading II Pisangan Timur,-6.205063,106.88175
B00445P,Gg. Giat Raya Ciracas,-6.330162,106.86968
B00448P,Gg. H Kebantenan III,-6.108365,106.93331
B00450P,Gg. H Satiri Manshur,-6.173907,106.7485
B00452P,Gg. H. Abdul Rohim Marunda,-6.120614,106.957
B00453P,Gg. H. Abdul Rohman,-6.224423,106.90061
B00455P,Gg. H. Abdullah Marunda,-6.125838,106.95684
B00456P,Gg. H. Ahmad Nado,-6.304413,106.80243
B00457P,Gg. H. Amsar,-6.218711,106.77095
B00458P,Gg. H. Anim Semanan,-6.168368,106.70594
B00459P,Gg. H. Ayub,-6.270874,106.79762
B00461P,Gg. H. Bunen 1,-6.232949,106.88516
B00462P,Gg. H. Bunen 2,-6.232848,106.88526
B00464P,Gg. H. Denas,-6.127115,106.90597
B00466P,Gg. H. Emur Pondok Labu,-6.301858,106.79614
B00467P,Gg. H. Ganan,-6.335534,106.81909
B00469P,Gg. H. Jaid Petukangan,-6.246071,106.75194
B00470P,Gg. H. Kamil,-6.185002,106.95902
B00471P,Gg. H. Loong Tengah,-6.286959,106.86299
B00472P,Gg. H. Mesir,-6.337868,106.81624
B00473P,Gg. H. Mujeni Cililitan,-6.263903,106.86228
B00474P,Gg. H. Naim Kembangan Utara,-6.182271,106.73464
B00476P,Gg. H. Saibun Jati Padang,-6.289383,106.82903
B00478P,Gg. H. Salihan Jati Padang,-6.296404,106.82833
B00479P,Gg. H. Sanusi I Ulujami,-6.241758,106.76298
B00480P,Gg. H. Seman Susukan,-6.327213,106.86898
B00481P,Gg. H. Solihin 1 Tebet,-6.22337,106.84837
B00482P,Gg. H. Syarip Sawah Mede,-6.099468,106.70596
B00483P,Gg. H. Untung Rawa Buaya,-6.163734,106.73352
B00484P,Gg. H. Yahya Balekambang,-6.287078,106.85064
B00485P,Gg. H. Yusuf Jati Pdang,-6.292902,106.8287
B00486P,Gg. Harapan I Jagakarsa,-6.313476,106.81269
B00490P,Gg. Jambu,-6.295578,106.89744
B00491P,Gg. Kancil I Lenteng Agung,-6.316507,106.83774
B00492P,Gg. Kancil Marunda,-6.106711,106.96479
B00493P,Gg. Kebembem 3,-6.208366,106.88486
B00494P,Gg. Kelor,-6.211791,106.86043
B00495P,Gg. Kelor 2,-6.211486,106.86066
B00496P,Gg. Kembang II Pagelarang,-6.304986,106.91681
B00498P,Gg. Koperasi Ciracas,-6.327325,106.86902
B00499P,Gg. Kunir II,-6.133132,106.81435
B00500P,Gg. Kurung KDW,-6.330806,106.88214
B00501P,Gg. L Utan Panjang Timur,-6.166888,106.85256
B00502P,Gg. Langga,-6.26626,106.88132
B00503P,Gg. Langgar II,-6.255477,106.79037
B00504P,Gg. Langgar Kelapa Dua,-6.213042,106.76941
B00505P,Gg. Lele Sunter Kemayoran,-6.158253,106.86842
B00506P,Gg. Lestari Cibubur,-6.347515,106.87465
B00507P,Gg. Makmur II,-6.293741,106.90056
B00509P,Gg. Manggis VIII Manggarai Selatan,-6.220354,106.84767
B00510P,Gg. Manggis XIV Tj. Duren,-6.178683,106.78371
B00512P,Gg. Marang,-6.217246,106.74855
B00513P,Gg. Masjid Al Istiqomah Tengah,-6.292614,106.86477
B00514P,Gg. Masjid Al Khaerot Condet,-6.278232,106.85501
B00515P,Gg. Mawar,-6.267096,106.88251
B00516P,Gg. Mawar Kb. Jeruk,-6.197361,106.7672
B00517P,Gg. Molen,-6.30713,106.87629
B00518P,Gg. Muhi Pulo Gebang,-6.210145,106.95833
B00520P,Gg. Mundu II Tengah,-6.293006,106.86333
B00522P,Gg. Musholla Ragunan,-6.308196,106.81588
B00523P,Gg. Nasim Badeh Susukan,-6.312485,106.87029
B00524P,Gg. Nusa Indah Ciracas,-6.326137,106.86874
B00525P,Gg. Oxport Kebantenan VII,-6.110279,106.92941
B00526P,Gg. P Pertamina Marunda,-6.120683,106.95709
B00529P,Gg. Pelangi Damai Raya,-6.248529,106.75345
B00530P,Gg. Perjuangan Petukangan,-6.23389,106.75156
B00531P,Gg. Petamburan I KS Tubun,-6.190162,106.80656
B00532P,Gg. Poncol Malaka III,-6.14769,106.95627
B00533P,Gg. Pos 5,-6.122442,106.92691
B00534P,Gg. Pos Ayam,-6.120971,106.92694
B00536P,Gg. Puskesmas Kebagusan Raya,-6.296645,106.8273
B00537P,Gg. Ramli KS Tubun,-6.191888,106.80594
B00538P,Gg. Randu,-6.221883,106.89946
B00539P,Gg. Reformasi Damai Raya,-6.259917,106.80327
B00544P,Gg. Rukun Lingkar Timur,-6.198644,106.94442
B00546P,Gg. Sabar 2 Lingkar Timur,-6.199915,106.94488
B00547P,Gg. Sabar Lingkar Timur,-6.199577,106.94473
B00548P,Gg. Sadar IV,-6.292873,106.90228
B00550P,Gg. Sahabat Pulo Gebang,-6.212271,106.95588
B00551P,Gg. Saminten,-6.379436,106.84923
B00552P,Gg. Samudera Casa Goya,-6.198942,106.77778
B00553P,Gg. Sapi,-6.304642,106.91132
B00554P,Gg. Sawo 1,-6.20176,106.93513
B00555P,Gg. Sawo 2,-6.201669,106.93518
B00556P,Gg. Sawo Joglo,-6.217751,106.75034
B00557P,Gg. Sawo Rawabinong,-6.304571,106.91141
B00558P,Gg. Sejahtera Lingkar Timur,-6.200604,106.94519
B00560P,Gg. Service,-6.297451,106.90346
B00561P,Gg. Siluman Cililitan Besar,-6.264959,106.8747
B00562P,Gg. Subuh,-6.211257,106.89058
B00564P,Gg. Suzuki,-6.184571,106.90797
B00565P,Gg. Swadaya II Cibubur,-6.361451,106.88461
B00566P,Gg. Swadaya Pagelarang,-6.302646,106.91686
B00567P,Gg. T Palmerah,-6.20445,106.783
B00568P,Gg. Tamansari Ragunan,-6.305488,106.81614
B00570P,Gg. Timbul Jaya Daan Mogot,-6.153096,106.72239
B00571P,Gg. Tongolo,-6.267049,106.88252
B00572P,Gg. Tresna Asih Cililitan,-6.263788,106.86849
B00573P,Gg. Trijaya IV Tebet Timur,-6.232163,106.8528
B00574P,Gg. U Palmerah,-6.202682,106.78279
B00575P,Gg. Umbang Lingkar Timur,-6.189303,106.94454
B00576P,Gg. Usaha Ciracas,-6.319908,106.8726
B00578P,Gg. Waru,-6.305813,106.91201
B00579P,Gardu PLN Gotong Royong,-6.225352,106.89697
B00581P,Garuda Indonesia Training Center,-6.175417,106.72178
B00582P,Garuda Taman Mini 1,-6.290384,106.88174
B00583P,Garuda Taman Mini 2,-6.290148,106.88162
B00584P,Gas Alam,-6.382128,106.86633
B00587P,Gatot Subroto LIPI 2,-6.226792,106.81771
B00588P,GBI Sungai Yordan,-6.166828,106.7698
B00589P,GBK Pintu 7,-6.222095,106.80861
B00591P,Gebu Minang,-6.225359,106.85576
B00592P,Gedong Panjang 2,-6.132546,106.80606
B00595P,Gedung Baja,-6.143784,106.83084
B00596P,Gedung Granadi,-6.231311,106.83301
B00598P,Gedung OT,-6.166688,106.72772
B00599P,Gedung Pertamina,-6.230483,106.78971
B00600P,Gedung Pompa Cideng Siantar,-6.173284,106.80669
B00602P,Gedung Pramuka,-6.111364,106.92566
B00603P,Gedung Senam,-6.224141,106.92339
B00604P,Gedung Wanita,-6.200921,106.83624
B00605P,Gelael,-6.242811,106.8475
B00606P,Gelanggang Remaja Ciracas,-6.33946,106.88226
B00607P,Gelanggang Remaja Grogol Petamburan,-6.178373,106.78094
B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787
B00609P,Gelanggang Remaja Tj. Priok,-6.13877,106.87193
B00610P,Gelanggang TB Simatupang,-6.289097,106.77909
B00611P,Gelora Bung Karno 1,-6.224642,106.8056
